指标,2014,2015,2016,2017,2018,2019,2020
粮食(原粮),141.0,134.5,132.8,130.1,127.2,130.1,141.2
食用油,10.4,10.6,10.6,10.4,9.6,9.5,10.4
#食用植物油,9.8,10.0,10.0,9.8,8.9,8.9,9.8
蔬菜及食用菌,96.9,97.8,100.1,99.2,96.1,98.6,103.7
肉类,25.6,26.2,26.1,26.7,29.5,26.9,24.8
禽类,8.0,8.4,9.1,8.9,9.0,10.8,12.7
水产品,10.8,11.2,11.4,11.5,11.4,13.6,13.9
蛋类,8.6,9.5,9.7,10.0,9.7,10.7,12.8
奶类,12.6,12.1,12.0,12.1,12.2,12.5,13.0
干鲜瓜果类,42.2,44.5,48.3,50.1,52.1,56.4,56.3
食糖,13,13,13,13,13,13,13
